Language	ISO 639-3	hh.bib key	ideophone (prop)	ideophone (freq)	all (freq)	idêophone (prop)	idêophone (freq)	all (freq)
Tumbuka	tum	s:Vail:Tumbuka	0.003686251	388	105256	9.50E-06	1	105256
Kinyarwanda	kin	g:Nkusi:Kinyarwanda	0	0	117352	8.52E-06	1	117352
Godoberi	gdo	g:Kibrik:Godoberi	0	0	121962	8.20E-06	1	121962
Mann	mev	g:Khachaturyan:Mano	1.58E-05	2	126673	7.89E-06	1	126673
Obolo	ann	g:Rowland:Obolo-Andoni:1999	0	0	128187	7.80E-06	1	128187
Waama	wwa	g:Bremicker:Waama	0	0	133536	7.49E-06	1	133536
Banda-Bambari	liy	g:Cloarec-Heiss:Banda-Linda	0	0	137538	7.27E-06	1	137538
Shi	shr	sb:Murhi-Orhakuba:Mashi	0	0	146939	6.81E-06	1	146939
Yuhup	yab	g:Ospina:Yuhup	0	0	148830	6.72E-06	1	148830
Vach-Vasjugan	NOCODE_Vach-Vasjugan	g:Filchenko:Eastern-Khanty	0	0	155837	6.44E-06	1	155319
Kryz	kry	g:Authier:Kryz	0	0	158795	6.44E-06	1	155325
Chakali	cli	gd:Brindle:Chakali:2017	0.000127189	20	157246	6.36E-06	1	157246
Soga	xog	g:Nabirye:Lusoga	0.000123383	21	170202	5.88E-06	1	170202
Balanta-Ganja	bjt	g:Mbodj:Balante-Sofa	0	0	172361	5.80E-06	1	172361
Berom	bom	g:Bouquiaux:Birom	0	0	174450	5.73E-06	1	174450
Mamaindé	wmd	g:Eberhard:Mamainde	0	0	177394	5.64E-06	1	177394
Bulo Stieng	sti	g:Bon:Stieng	0	0	183412	5.45E-06	1	183412
Baka (Cameroon)	bkc	es:Paulin:Baka-Transformations	0	0	195980	5.10E-06	1	195980
Mofu-Gudur	mif	g:Barreteau:Mofu-Gudur	0	0	198996	5.03E-06	1	198996
Vach-Vasjugan	NOCODE_Vach-Vasjugan	g:Filchenko:EKhanty	0	0	224567	4.45E-06	1	224567
Niellim	nie	g:Boyeldieu:Lua	0	0	246332	4.06E-06	1	246332
Mehináku	mmh	hvtyp:Durand:Arawak	4.03E-06	1	248438	4.03E-06	1	248438
Hinuq	gin	g:Forker:Hinuq:2013	0	0	293253	3.45E-06	1	290008
Alacalufe-Central	NOCODE_Alacalufe-Central	s:Borgatello:Alakaluf	0	0	8256	0	0	8256
Allentiac	NOCODE_Allentiac	s:delaGrasserie:Allentiak	0	0	20819	0	0	20819
Allentiac	NOCODE_Allentiac	s:deValdivia:Allentiac	0	0	32500	0	0	32500
Amam	NOCODE_Amam	s:AkiPennington:Amam	0	0	19338	0	0	19338
Amorite	NOCODE_Amorite	typ:Waltisberg:Amorite	0	0	6895	0	0	6895
Archaic Finnish Swedish	NOCODE_Archaic-Finnish-Swedish	sd:Freudenthal:Narpesdialect	0	0	505	0	0	505
Archaic Finnish Swedish	NOCODE_Archaic-Finnish-Swedish	s:Freudenthal:Nyland	0	0	32710	0	0	32710
Archaic Finnish Swedish	NOCODE_Archaic-Finnish-Swedish	s:Karsten:Kokarsmalet	0	0	38456	0	0	38456
Archaic Finnish Swedish	NOCODE_Archaic-Finnish-Swedish	s:Lundstrom:Nylandsk	0	0	71459	0	0	71459
